"year","ctry","variable","pubdate","value","institution"
"2021","122","LUR","2021-11-11",5,"254900ZNYA1FLUQ9U393"
"2022","122","LUR","2021-11-11",4.6,"254900ZNYA1FLUQ9U393"
"2023","122","LUR","2021-11-11",4.5,"254900ZNYA1FLUQ9U393"
"2021","124","LUR","2021-11-11",6.2,"254900ZNYA1FLUQ9U393"
"2022","124","LUR","2021-11-11",6.3,"254900ZNYA1FLUQ9U393"
"2023","124","LUR","2021-11-11",5.8,"254900ZNYA1FLUQ9U393"
"2021","423","LUR","2021-11-11",7.5,"254900ZNYA1FLUQ9U393"
"2022","423","LUR","2021-11-11",7.1,"254900ZNYA1FLUQ9U393"
"2023","423","LUR","2021-11-11",6.6,"254900ZNYA1FLUQ9U393"
"2021","939","LUR","2021-11-11",6.8,"254900ZNYA1FLUQ9U393"
"2022","939","LUR","2021-11-11",5.7,"254900ZNYA1FLUQ9U393"
"2023","939","LUR","2021-11-11",5.2,"254900ZNYA1FLUQ9U393"
"2021","172","LUR","2021-11-11",7.7,"254900ZNYA1FLUQ9U393"
"2022","172","LUR","2021-11-11",6.9,"254900ZNYA1FLUQ9U393"
"2023","172","LUR","2021-11-11",6.5,"254900ZNYA1FLUQ9U393"
"2021","132","LUR","2021-11-11",8,"254900ZNYA1FLUQ9U393"
"2022","132","LUR","2021-11-11",8,"254900ZNYA1FLUQ9U393"
"2023","132","LUR","2021-11-11",7.9,"254900ZNYA1FLUQ9U393"
"2021","134","LUR","2021-11-11",3.6,"254900ZNYA1FLUQ9U393"
"2022","134","LUR","2021-11-11",3.4,"254900ZNYA1FLUQ9U393"
"2023","134","LUR","2021-11-11",3.2,"254900ZNYA1FLUQ9U393"
"2021","174","LUR","2021-11-11",15.3,"254900ZNYA1FLUQ9U393"
"2022","174","LUR","2021-11-11",15,"254900ZNYA1FLUQ9U393"
"2023","174","LUR","2021-11-11",14.5,"254900ZNYA1FLUQ9U393"
"2021","178","LUR","2021-11-11",7.5,"254900ZNYA1FLUQ9U393"
"2022","178","LUR","2021-11-11",6.8,"254900ZNYA1FLUQ9U393"
"2023","178","LUR","2021-11-11",6.2,"254900ZNYA1FLUQ9U393"
"2021","136","LUR","2021-11-11",9.8,"254900ZNYA1FLUQ9U393"
"2022","136","LUR","2021-11-11",9.3,"254900ZNYA1FLUQ9U393"
"2023","136","LUR","2021-11-11",9.2,"254900ZNYA1FLUQ9U393"
"2021","941","LUR","2021-11-11",7.3,"254900ZNYA1FLUQ9U393"
"2022","941","LUR","2021-11-11",6.9,"254900ZNYA1FLUQ9U393"
"2023","941","LUR","2021-11-11",6.6,"254900ZNYA1FLUQ9U393"
"2021","946","LUR","2021-11-11",7.1,"254900ZNYA1FLUQ9U393"
"2022","946","LUR","2021-11-11",6.3,"254900ZNYA1FLUQ9U393"
"2023","946","LUR","2021-11-11",6,"254900ZNYA1FLUQ9U393"
"2021","137","LUR","2021-11-11",6.1,"254900ZNYA1FLUQ9U393"
"2022","137","LUR","2021-11-11",5.8,"254900ZNYA1FLUQ9U393"
"2023","137","LUR","2021-11-11",5.7,"254900ZNYA1FLUQ9U393"
"2021","181","LUR","2021-11-11",4,"254900ZNYA1FLUQ9U393"
"2022","181","LUR","2021-11-11",3.8,"254900ZNYA1FLUQ9U393"
"2023","181","LUR","2021-11-11",3.7,"254900ZNYA1FLUQ9U393"
"2021","138","LUR","2021-11-11",3.5,"254900ZNYA1FLUQ9U393"
"2022","138","LUR","2021-11-11",3.6,"254900ZNYA1FLUQ9U393"
"2023","138","LUR","2021-11-11",3.6,"254900ZNYA1FLUQ9U393"
"2021","182","LUR","2021-11-11",6.7,"254900ZNYA1FLUQ9U393"
"2022","182","LUR","2021-11-11",6.5,"254900ZNYA1FLUQ9U393"
"2023","182","LUR","2021-11-11",6.4,"254900ZNYA1FLUQ9U393"
"2021","936","LUR","2021-11-11",6.8,"254900ZNYA1FLUQ9U393"
