"institution","variable","pubdate"
"254900ZNYA1FLUQ9U393","LUR","2025-11-17"
"254900ZNYA1FLUQ9U393","NGDP_RPCH","2025-11-17"
"254900ZNYA1FLUQ9U393","PCPIPCH","2025-11-17"
"5299001Z8JOKGWV5O949","LUR","2025-12-19"
"5299001Z8JOKGWV5O949","NGDP_RPCH","2026-03-24"
"5299001Z8JOKGWV5O949","PCPIPCH","2026-03-24"
"5299004QA39L2ORLX198","NGDP_RPCH","2026-04-10"
"5299004QA39L2ORLX198","LUR","2026-04-10"
"5299004QA39L2ORLX198","PCPIPCH","2026-04-10"
"529900FMFN29HKS4BE19","NGDP_RPCH","2026-04-10"
"529900FMFN29HKS4BE19","LUR","2026-04-10"
"529900FMFN29HKS4BE19","PCPIPCH","2026-04-10"
"549300DTUYXVMJXZNY75","PCPIPCH","2026-03-01"
"549300DTUYXVMJXZNY75","LUR","2026-03-01"
"549300DTUYXVMJXZNY75","NGDP_RPCH","2026-03-01"
"E7EXN6FJGRUTJYNZ3Z71","NGDP_RPCH","2025-10-14"
"E7EXN6FJGRUTJYNZ3Z71","PCPIPCH","2025-10-14"
"E7EXN6FJGRUTJYNZ3Z71","LUR","2025-10-14"
