"Category","2021","2022","2023"
"Austria",4.5,3.9,1.9
"Belgium",6.2,2,1.8
"Cyprus",5.5,2.3,3.5
"Estonia",8.3,1,2.4
"Finland",3.5,1.6,1.7
"France",7,3.1,1.8
"Germany",2.9,1.6,2.4
"Greece",8.3,3.5,3.1
"Ireland",13.5,5.4,4.4
"Italy",6.6,2.4,1.9
"Latvia",4.5,2,2.9
"Lithuania",5,1.7,2.6
"Luxembourg",6.9,2.2,2.7
"Malta",9.4,4.2,4
"Netherlands",5,3.3,1.6
"Portugal",4.9,5.8,2.7
"Slovakia",3,2.3,3.6
"Slovenia",8.1,3.7,3.1
"Spain",5.1,4,3.4
"EA",5.4,2.7,2.3
"Bulgaria",4.2,2.1,3.1
"Croatia",10.2,3.4,3
"Czechia",3.3,1.9,2.7
"Denmark",4.7,2.6,1.8
"Hungary",7.1,3.6,2.6
"Poland",5.9,3.7,3
"Romania",5.9,2.6,3.6
"Sweden",4.8,2.3,1.4
"EU",5.4,2.7,2.3
