"Category","2022","2023","2024"
"Austria",8.6,7.1,3.8
"Belgium",10.3,3.4,3.5
"Croatia",10.7,6.9,2.2
"Cyprus",8.1,3.8,2.5
"Estonia",19.4,9.2,2.8
"Finland",7.2,4.8,2.1
"France",5.9,5.5,2.5
"Germany",8.7,6.8,2.7
"Greece",9.3,4.2,2.4
"Ireland",8.1,4.6,2.6
"Italy",8.7,6.1,2.9
"Latvia",17.2,9.3,1.7
"Lithuania",18.9,9.2,2.2
"Luxembourg",8.2,3.2,2.6
"Malta",6.1,5.4,2.8
"Netherlands",11.6,4.9,3.3
"Portugal",8.1,5.1,2.7
"Slovakia",12.1,10.9,5.7
"Slovenia",9.3,7,3.8
"Spain",8.3,4,2.7
"EA",8.4,5.8,2.8
"Bulgaria",13,9.4,4.2
"CzechRepublic",14.8,11.9,3.4
"Denmark",8.5,4.3,2.5
"Hungary",15.3,16.4,4
"Poland",13.2,11.7,6
"Romania",12,9.7,4.6
"Sweden",8.1,6,1.9
"EU",9.2,6.7,3.1
