"variable","year","value","pubdate","ctry"
"NGDP_RPCH","2020",-7.2,2020-05-28,"122"
"NGDP_RPCH","2021",4.9,2020-05-28,"122"
"NGDP_RPCH","2022",2.7,2020-05-28,"122"
"PCPIPCH","2020",0.8,2020-05-28,"122"
"PCPIPCH","2021",0.8,2020-05-28,"122"
"PCPIPCH","2022",1.5,2020-05-28,"122"
"LUR","2020",6.8,2020-05-28,"122"
"LUR","2021",5.8,2020-05-28,"122"
"LUR","2022",5.3,2020-05-28,"122"
"NGDP_RPCH","2020",-7.1,2020-12-01,"122"
"NGDP_RPCH","2021",3.6,2020-12-01,"122"
"NGDP_RPCH","2022",4,2020-12-01,"122"
"NGDP_RPCH","2023",2.2,2020-12-01,"122"
"PCPIPCH","2020",1.3,2020-12-01,"122"
"PCPIPCH","2021",1.4,2020-12-01,"122"
"PCPIPCH","2022",1.7,2020-12-01,"122"
"PCPIPCH","2023",1.7,2020-12-01,"122"
"LUR","2020",5.3,2020-12-01,"122"
"LUR","2021",5.6,2020-12-01,"122"
"LUR","2022",5.1,2020-12-01,"122"
"LUR","2023",4.8,2020-12-01,"122"
"NGDP_RPCH","2021",3.9,2021-05-26,"122"
"NGDP_RPCH","2022",4.2,2021-05-26,"122"
"NGDP_RPCH","2023",1.9,2021-05-26,"122"
"PCPIPCH","2021",2,2021-05-26,"122"
"PCPIPCH","2022",1.8,2021-05-26,"122"
"PCPIPCH","2023",1.8,2021-05-26,"122"
"LUR","2021",5.2,2021-05-26,"122"
"LUR","2022",4.8,2021-05-26,"122"
"LUR","2023",4.6,2021-05-26,"122"
"NGDP_RPCH","2021",4.9,2021-12-09,"122"
"NGDP_RPCH","2022",4.3,2021-12-09,"122"
"NGDP_RPCH","2023",2.6,2021-12-09,"122"
"NGDP_RPCH","2024",1.8,2021-12-09,"122"
"PCPIPCH","2021",2.7,2021-12-09,"122"
"PCPIPCH","2022",3.2,2021-12-09,"122"
"PCPIPCH","2023",2.3,2021-12-09,"122"
"PCPIPCH","2024",2,2021-12-09,"122"
"LUR","2021",6.3,2021-12-09,"122"
"LUR","2022",5.4,2021-12-09,"122"
"LUR","2023",5,2021-12-09,"122"
