"variable","year","value","pubdate","ctry"
"NGDP_RPCH","2020",-7.3,2020-06-26,"122"
"NGDP_RPCH","2021",5.8,2020-06-26,"122"
"PCPIPCH","2020",1,2020-06-26,"122"
"PCPIPCH","2021",1.3,2020-06-26,"122"
"LUR","2020",5.8,2020-06-26,"122"
"LUR","2021",5.3,2020-06-26,"122"
"NGDP_RPCH","2020",-6.7,2020-10-09,"122"
"NGDP_RPCH","2021",4.7,2020-10-09,"122"
"PCPIPCH","2020",1.4,2020-10-09,"122"
"PCPIPCH","2021",1.6,2020-10-09,"122"
"LUR","2020",5.4,2020-10-09,"122"
"LUR","2021",5.3,2020-10-09,"122"
"NGDP_RPCH","2020",-7.5,2020-12-18,"122"
"NGDP_RPCH","2021",3.1,2020-12-18,"122"
"NGDP_RPCH","2022",3.8,2020-12-18,"122"
"PCPIPCH","2020",1.4,2020-12-18,"122"
"PCPIPCH","2021",1.6,2020-12-18,"122"
"PCPIPCH","2022",1.9,2020-12-18,"122"
"LUR","2020",5.4,2020-12-18,"122"
"LUR","2021",5.3,2020-12-18,"122"
"LUR","2022",5,2020-12-18,"122"
"NGDP_RPCH","2021",2.6,2021-03-26,"122"
"NGDP_RPCH","2022",4.3,2021-03-26,"122"
"PCPIPCH","2021",2,2021-03-26,"122"
"PCPIPCH","2022",1.9,2021-03-26,"122"
"LUR","2021",5.3,2021-03-26,"122"
"LUR","2022",5,2021-03-26,"122"
"NGDP_RPCH","2021",3.4,2021-06-24,"122"
"NGDP_RPCH","2022",4.5,2021-06-24,"122"
"PCPIPCH","2021",2.2,2021-06-24,"122"
"PCPIPCH","2022",2,2021-06-24,"122"
"LUR","2021",5.3,2021-06-24,"122"
"LUR","2022",5.1,2021-06-24,"122"
"NGDP_RPCH","2021",4.5,2021-10-08,"122"
"NGDP_RPCH","2022",4.5,2021-10-08,"122"
"PCPIPCH","2021",2.6,2021-10-08,"122"
"PCPIPCH","2022",2.3,2021-10-08,"122"
"LUR","2021",6.4,2021-10-08,"122"
"LUR","2022",5.8,2021-10-08,"122"
"NGDP_RPCH","2022",4.2,2021-12-15,"122"
"NGDP_RPCH","2023",2.6,2021-12-15,"122"
"PCPIPCH","2022",2.8,2021-12-15,"122"
"PCPIPCH","2023",1.9,2021-12-15,"122"
"LUR","2022",5.5,2021-12-15,"122"
"LUR","2023",5.3,2021-12-15,"122"
"NGDP_RPCH","2022",3.6,2022-03-25,"122"
"NGDP_RPCH","2023",2.3,2022-03-25,"122"
"LUR","2022",5,2022-03-25,"122"
"LUR","2023",4.8,2022-03-25,"122"
"PCPIPCH","2022",5.5,2022-03-25,"122"
"PCPIPCH","2023",2.3,2022-03-25,"122"
"PCPIPCH","2022",6.3,2022-05-12,"122"
"PCPIPCH","2023",3.9,2022-05-12,"122"
"NGDP_RPCH","2022",3.8,2022-06-30,"122"
"NGDP_RPCH","2023",1.4,2022-06-30,"122"
"LUR","2022",4.6,2022-06-30,"122"
"LUR","2023",4.5,2022-06-30,"122"
"PCPIPCH","2022",7.4,2022-06-30,"122"
"PCPIPCH","2023",4.7,2022-06-30,"122"
"NGDP_RPCH","2022",4.7,2022-10-07,"122"
"NGDP_RPCH","2023",0.3,2022-10-07,"122"
"LUR","2022",4.7,2022-10-07,"122"
"LUR","2023",4.9,2022-10-07,"122"
"PCPIPCH","2022",8.5,2022-10-07,"122"
"PCPIPCH","2023",6.8,2022-10-07,"122"
