"year","ctry","variable","pubdate","value"
"2002",122,"PCPIPCH","2002-12-01",1.8
"2003",122,"PCPIPCH","2002-12-01",1.8
"2004",122,"PCPIPCH","2002-12-01",1.6
"2003",122,"PCPIPCH","2003-12-01",1.3
"2004",122,"PCPIPCH","2003-12-01",1.6
"2005",122,"PCPIPCH","2003-12-01",1.5
"2004",122,"PCPIPCH","2004-12-01",1.9
"2005",122,"PCPIPCH","2004-12-01",2
"2006",122,"PCPIPCH","2004-12-01",1.7
"2005",122,"PCPIPCH","2005-12-01",2.2
"2006",122,"PCPIPCH","2005-12-01",1.9
"2007",122,"PCPIPCH","2005-12-01",1.7
"2006",122,"PCPIPCH","2006-12-01",1.7
"2007",122,"PCPIPCH","2006-12-01",1.4
"2008",122,"PCPIPCH","2006-12-01",1.6
"2007",122,"PCPIPCH","2007-12-01",2.1
"2008",122,"PCPIPCH","2007-12-01",2.4
"2009",122,"PCPIPCH","2007-12-01",1.8
"2008",122,"PCPIPCH","2008-12-01",3.3
"2009",122,"PCPIPCH","2008-12-01",1.4
"2010",122,"PCPIPCH","2008-12-01",1.6
"2009",122,"PCPIPCH","2009-12-01",0.5
"2010",122,"PCPIPCH","2009-12-01",1.5
"2011",122,"PCPIPCH","2009-12-01",1.6
"2010",122,"PCPIPCH","2010-12-01",1.7
"2011",122,"PCPIPCH","2010-12-01",2.2
"2012",122,"PCPIPCH","2010-12-01",1.8
"2011",122,"PCPIPCH","2011-12-01",3.5
"2012",122,"PCPIPCH","2011-12-01",2.2
"2013",122,"PCPIPCH","2011-12-01",1.6
"2012",122,"PCPIPCH","2012-12-01",2.5
"2013",122,"PCPIPCH","2012-12-01",1.7
"2014",122,"PCPIPCH","2012-12-01",1.6
"2013",122,"PCPIPCH","2013-12-01",2.1
"2014",122,"PCPIPCH","2013-12-01",1.7
"2015",122,"PCPIPCH","2013-12-01",1.6
"2014",122,"PCPIPCH","2014-12-01",1.5
"2015",122,"PCPIPCH","2014-12-01",1.4
"2016",122,"PCPIPCH","2014-12-01",1.5
"2015",122,"PCPIPCH","2015-12-01",0.8
"2016",122,"PCPIPCH","2015-12-01",1.3
"2017",122,"PCPIPCH","2015-12-01",1.7
