"year","variable","ctry","value","pubdate"
"2021","NGDP_RPCH",111,6.386,2021-04-06
"2022","NGDP_RPCH",111,3.515,2021-04-06
"2023","NGDP_RPCH",111,1.41,2021-04-06
"2024","NGDP_RPCH",111,1.481,2021-04-06
"2025","NGDP_RPCH",111,1.607,2021-04-06
"2026","NGDP_RPCH",111,1.61,2021-04-06
"2021","NGDP_RPCH",112,5.344,2021-04-06
"2022","NGDP_RPCH",112,5.066,2021-04-06
"2023","NGDP_RPCH",112,1.996,2021-04-06
"2024","NGDP_RPCH",112,1.757,2021-04-06
"2025","NGDP_RPCH",112,1.549,2021-04-06
"2026","NGDP_RPCH",112,1.449,2021-04-06
"2020","NGDP_RPCH",122,-6.59,2021-04-06
"2021","NGDP_RPCH",122,3.478,2021-04-06
"2022","NGDP_RPCH",122,4,2021-04-06
"2023","NGDP_RPCH",122,2.3,2021-04-06
"2024","NGDP_RPCH",122,2,2021-04-06
"2025","NGDP_RPCH",122,1.8,2021-04-06
"2026","NGDP_RPCH",122,1.8,2021-04-06
"2021","NGDP_RPCH",124,4.043,2021-04-06
"2022","NGDP_RPCH",124,3.091,2021-04-06
"2023","NGDP_RPCH",124,2.101,2021-04-06
"2024","NGDP_RPCH",124,1.596,2021-04-06
"2025","NGDP_RPCH",124,1.315,2021-04-06
"2026","NGDP_RPCH",124,1.341,2021-04-06
"2020","NGDP_RPCH",128,-3.287,2021-04-06
"2021","NGDP_RPCH",128,2.76,2021-04-06
"2022","NGDP_RPCH",128,2.85,2021-04-06
"2023","NGDP_RPCH",128,1.85,2021-04-06
"2024","NGDP_RPCH",128,1.8,2021-04-06
"2025","NGDP_RPCH",128,1.8,2021-04-06
"2026","NGDP_RPCH",128,1.8,2021-04-06
"2021","NGDP_RPCH",132,5.812,2021-04-06
"2022","NGDP_RPCH",132,4.217,2021-04-06
"2023","NGDP_RPCH",132,1.711,2021-04-06
"2024","NGDP_RPCH",132,1.483,2021-04-06
"2025","NGDP_RPCH",132,1.362,2021-04-06
"2026","NGDP_RPCH",132,1.242,2021-04-06
"2021","NGDP_RPCH",134,3.602,2021-04-06
"2022","NGDP_RPCH",134,3.424,2021-04-06
"2023","NGDP_RPCH",134,1.568,2021-04-06
"2024","NGDP_RPCH",134,1.464,2021-04-06
"2025","NGDP_RPCH",134,1.153,2021-04-06
"2026","NGDP_RPCH",134,1.09,2021-04-06
"2020","NGDP_RPCH",135,-9.745,2021-04-06
"2021","NGDP_RPCH",135,4.46,2021-04-06
"2022","NGDP_RPCH",135,3.38,2021-04-06
"2023","NGDP_RPCH",135,1.51,2021-04-06
"2024","NGDP_RPCH",135,1.08,2021-04-06
"2025","NGDP_RPCH",135,1.08,2021-04-06
"2026","NGDP_RPCH",135,1.08,2021-04-06
"2021","NGDP_RPCH",136,4.15,2021-04-06
"2022","NGDP_RPCH",136,3.604,2021-04-06
"2023","NGDP_RPCH",136,1.563,2021-04-06
"2024","NGDP_RPCH",136,0.913,2021-04-06
"2025","NGDP_RPCH",136,0.85,2021-04-06
"2026","NGDP_RPCH",136,0.817,2021-04-06
"2021","NGDP_RPCH",137,4.095,2021-04-06
"2022","NGDP_RPCH",137,3.6,2021-04-06
"2023","NGDP_RPCH",137,3.05,2021-04-06
"2024","NGDP_RPCH",137,2.701,2021-04-06
"2025","NGDP_RPCH",137,2.5,2021-04-06
"2026","NGDP_RPCH",137,2.5,2021-04-06
"2020","NGDP_RPCH",138,-3.796,2021-04-06
"2021","NGDP_RPCH",138,3.503,2021-04-06
"2022","NGDP_RPCH",138,2.991,2021-04-06
"2023","NGDP_RPCH",138,1.824,2021-04-06
"2024","NGDP_RPCH",138,1.591,2021-04-06
"2025","NGDP_RPCH",138,1.507,2021-04-06
"2026","NGDP_RPCH",138,1.538,2021-04-06
"2019","NGDP_RPCH",142,0.852,2021-04-06
"2020","NGDP_RPCH",142,-0.762,2021-04-06
"2021","NGDP_RPCH",142,3.861,2021-04-06
"2022","NGDP_RPCH",142,3.994,2021-04-06
"2023","NGDP_RPCH",142,2.842,2021-04-06
"2024","NGDP_RPCH",142,2.112,2021-04-06
"2025","NGDP_RPCH",142,1.929,2021-04-06
"2026","NGDP_RPCH",142,1.74,2021-04-06
"2020","NGDP_RPCH",144,-2.818,2021-04-06
"2021","NGDP_RPCH",144,3.06,2021-04-06
"2022","NGDP_RPCH",144,2.957,2021-04-06
"2023","NGDP_RPCH",144,2.349,2021-04-06
"2024","NGDP_RPCH",144,2.073,2021-04-06
"2025","NGDP_RPCH",144,2.045,2021-04-06
"2026","NGDP_RPCH",144,2.044,2021-04-06
"2020","NGDP_RPCH",146,-2.983,2021-04-06
"2021","NGDP_RPCH",146,3.489,2021-04-06
"2022","NGDP_RPCH",146,2.8,2021-04-06
"2023","NGDP_RPCH",146,1.421,2021-04-06
"2024","NGDP_RPCH",146,1.8,2021-04-06
"2025","NGDP_RPCH",146,1.2,2021-04-06
"2026","NGDP_RPCH",146,1.8,2021-04-06
"2021","NGDP_RPCH",156,5.045,2021-04-06
"2022","NGDP_RPCH",156,4.653,2021-04-06
"2023","NGDP_RPCH",156,2.217,2021-04-06
"2024","NGDP_RPCH",156,1.379,2021-04-06
"2025","NGDP_RPCH",156,1.422,2021-04-06
"2026","NGDP_RPCH",156,1.549,2021-04-06
"2021","NGDP_RPCH",158,3.252,2021-04-06
"2022","NGDP_RPCH",158,2.525,2021-04-06
"2023","NGDP_RPCH",158,1.138,2021-04-06
"2024","NGDP_RPCH",158,0.689,2021-04-06
"2025","NGDP_RPCH",158,0.567,2021-04-06
"2026","NGDP_RPCH",158,0.492,2021-04-06
"2020","NGDP_RPCH",172,-2.893,2021-04-06
"2021","NGDP_RPCH",172,2.276,2021-04-06
"2022","NGDP_RPCH",172,2.509,2021-04-06
"2023","NGDP_RPCH",172,1.508,2021-04-06
"2024","NGDP_RPCH",172,1.262,2021-04-06
"2025","NGDP_RPCH",172,1.269,2021-04-06
"2026","NGDP_RPCH",172,1.266,2021-04-06
"2021","NGDP_RPCH",174,3.758,2021-04-06
"2022","NGDP_RPCH",174,5,2021-04-06
"2023","NGDP_RPCH",174,2.352,2021-04-06
"2024","NGDP_RPCH",174,1.53,2021-04-06
"2025","NGDP_RPCH",174,1.466,2021-04-06
"2026","NGDP_RPCH",174,1.356,2021-04-06
"2019","NGDP_RPCH",176,2.569,2021-04-06
"2020","NGDP_RPCH",176,-6.649,2021-04-06
"2021","NGDP_RPCH",176,3.707,2021-04-06
"2022","NGDP_RPCH",176,3.568,2021-04-06
"2023","NGDP_RPCH",176,2.369,2021-04-06
"2024","NGDP_RPCH",176,2.433,2021-04-06
"2025","NGDP_RPCH",176,2.331,2021-04-06
"2026","NGDP_RPCH",176,2.335,2021-04-06
"2020","NGDP_RPCH",178,2.475,2021-04-06
"2021","NGDP_RPCH",178,4.234,2021-04-06
"2022","NGDP_RPCH",178,4.84,2021-04-06
"2023","NGDP_RPCH",178,3.701,2021-04-06
"2024","NGDP_RPCH",178,2.797,2021-04-06
"2025","NGDP_RPCH",178,2.667,2021-04-06
"2026","NGDP_RPCH",178,2.623,2021-04-06
"2021","NGDP_RPCH",181,4.663,2021-04-06
"2022","NGDP_RPCH",181,5.577,2021-04-06
"2023","NGDP_RPCH",181,4.603,2021-04-06
"2024","NGDP_RPCH",181,4.531,2021-04-06
"2025","NGDP_RPCH",181,4.5,2021-04-06
"2026","NGDP_RPCH",181,4.475,2021-04-06
"2021","NGDP_RPCH",182,3.9,2021-04-06
"2022","NGDP_RPCH",182,4.8,2021-04-06
"2023","NGDP_RPCH",182,2.5,2021-04-06
"2024","NGDP_RPCH",182,2.3,2021-04-06
"2025","NGDP_RPCH",182,1.8,2021-04-06
"2026","NGDP_RPCH",182,1.7,2021-04-06
"2021","NGDP_RPCH",184,6.375,2021-04-06
"2022","NGDP_RPCH",184,4.701,2021-04-06
"2023","NGDP_RPCH",184,2.79,2021-04-06
"2024","NGDP_RPCH",184,2.43,2021-04-06
"2025","NGDP_RPCH",184,1.39,2021-04-06
"2026","NGDP_RPCH",184,1.4,2021-04-06
"2021","NGDP_RPCH",186,6.042,2021-04-06
"2022","NGDP_RPCH",186,3.499,2021-04-06
"2023","NGDP_RPCH",186,3.5,2021-04-06
"2024","NGDP_RPCH",186,3.545,2021-04-06
"2025","NGDP_RPCH",186,3.523,2021-04-06
"2026","NGDP_RPCH",186,3.505,2021-04-06
"2021","NGDP_RPCH",193,4.538,2021-04-06
"2022","NGDP_RPCH",193,2.752,2021-04-06
"2023","NGDP_RPCH",193,2.276,2021-04-06
"2024","NGDP_RPCH",193,2.305,2021-04-06
"2025","NGDP_RPCH",193,2.377,2021-04-06
"2026","NGDP_RPCH",193,2.461,2021-04-06
"2021","NGDP_RPCH",196,4.044,2021-04-06
"2022","NGDP_RPCH",196,3.195,2021-04-06
"2023","NGDP_RPCH",196,2.613,2021-04-06
"2024","NGDP_RPCH",196,2.531,2021-04-06
"2025","NGDP_RPCH",196,2.432,2021-04-06
"2026","NGDP_RPCH",196,2.463,2021-04-06
"2021","NGDP_RPCH",199,3.1,2021-04-06
"2022","NGDP_RPCH",199,1.97,2021-04-06
"2023","NGDP_RPCH",199,1.4,2021-04-06
"2024","NGDP_RPCH",199,1.3,2021-04-06
"2025","NGDP_RPCH",199,1.3,2021-04-06
"2026","NGDP_RPCH",199,1.3,2021-04-06
"2020","NGDP_RPCH",213,-9.956,2021-04-06
"2021","NGDP_RPCH",213,5.839,2021-04-06
"2022","NGDP_RPCH",213,2.475,2021-04-06
"2023","NGDP_RPCH",213,2.06,2021-04-06
"2024","NGDP_RPCH",213,1.712,2021-04-06
"2025","NGDP_RPCH",213,1.634,2021-04-06
"2026","NGDP_RPCH",213,1.534,2021-04-06
"2020","NGDP_RPCH",218,-7.7,2021-04-06
"2021","NGDP_RPCH",218,5.5,2021-04-06
"2022","NGDP_RPCH",218,4.2,2021-04-06
"2023","NGDP_RPCH",218,3.8,2021-04-06
"2024","NGDP_RPCH",218,3.7,2021-04-06
"2025","NGDP_RPCH",218,3.5,2021-04-06
"2026","NGDP_RPCH",218,3.4,2021-04-06
"2021","NGDP_RPCH",223,3.655,2021-04-06
"2022","NGDP_RPCH",223,2.565,2021-04-06
"2023","NGDP_RPCH",223,2.141,2021-04-06
"2024","NGDP_RPCH",223,2.015,2021-04-06
"2025","NGDP_RPCH",223,2.015,2021-04-06
"2026","NGDP_RPCH",223,2.015,2021-04-06
"2021","NGDP_RPCH",228,6.174,2021-04-06
"2022","NGDP_RPCH",228,3.822,2021-04-06
"2023","NGDP_RPCH",228,2.684,2021-04-06
"2024","NGDP_RPCH",228,2.495,2021-04-06
"2025","NGDP_RPCH",228,2.457,2021-04-06
"2026","NGDP_RPCH",228,2.549,2021-04-06
"2021","NGDP_RPCH",233,5.15,2021-04-06
"2022","NGDP_RPCH",233,3.617,2021-04-06
"2023","NGDP_RPCH",233,3.953,2021-04-06
"2024","NGDP_RPCH",233,3.845,2021-04-06
"2025","NGDP_RPCH",233,3.845,2021-04-06
"2026","NGDP_RPCH",233,3.645,2021-04-06
"2020","NGDP_RPCH",238,-4.796,2021-04-06
"2021","NGDP_RPCH",238,2.595,2021-04-06
"2022","NGDP_RPCH",238,3.296,2021-04-06
"2023","NGDP_RPCH",238,3.095,2021-04-06
"2024","NGDP_RPCH",238,3.103,2021-04-06
"2025","NGDP_RPCH",238,3.2,2021-04-06
"2026","NGDP_RPCH",238,3.304,2021-04-06
"2020","NGDP_RPCH",243,-6.731,2021-04-06
"2021","NGDP_RPCH",243,5.481,2021-04-06
"2022","NGDP_RPCH",243,4.961,2021-04-06
"2023","NGDP_RPCH",243,5.039,2021-04-06
"2024","NGDP_RPCH",243,4.966,2021-04-06
"2025","NGDP_RPCH",243,5,2021-04-06
"2026","NGDP_RPCH",243,5,2021-04-06
"2020","NGDP_RPCH",248,-7.5,2021-04-06
"2021","NGDP_RPCH",248,2.502,2021-04-06
"2022","NGDP_RPCH",248,1.297,2021-04-06
"2023","NGDP_RPCH",248,1.695,2021-04-06
"2024","NGDP_RPCH",248,2.019,2021-04-06
"2025","NGDP_RPCH",248,2.296,2021-04-06
"2026","NGDP_RPCH",248,2.502,2021-04-06
"2020","NGDP_RPCH",253,-8.58,2021-04-06
"2021","NGDP_RPCH",253,4.2,2021-04-06
"2022","NGDP_RPCH",253,2.84,2021-04-06
"2023","NGDP_RPCH",253,2.546,2021-04-06
"2024","NGDP_RPCH",253,2.326,2021-04-06
"2025","NGDP_RPCH",253,2.07,2021-04-06
"2026","NGDP_RPCH",253,2.04,2021-04-06
"2020","NGDP_RPCH",258,-1.5,2021-04-06
"2021","NGDP_RPCH",258,4.5,2021-04-06
"2022","NGDP_RPCH",258,4.001,2021-04-06
"2023","NGDP_RPCH",258,3.5,2021-04-06
"2024","NGDP_RPCH",258,3.5,2021-04-06
"2025","NGDP_RPCH",258,3.5,2021-04-06
"2026","NGDP_RPCH",258,3.5,2021-04-06
"2020","NGDP_RPCH",263,-3.7,2021-04-06
"2021","NGDP_RPCH",263,1,2021-04-06
"2022","NGDP_RPCH",263,1,2021-04-06
"2023","NGDP_RPCH",263,1.1,2021-04-06
"2024","NGDP_RPCH",263,1.2,2021-04-06
"2025","NGDP_RPCH",263,1.3,2021-04-06
"2026","NGDP_RPCH",263,1.4,2021-04-06
"2020","NGDP_RPCH",268,-8,2021-04-06
"2021","NGDP_RPCH",268,4.5,2021-04-06
"2022","NGDP_RPCH",268,3.3,2021-04-06
"2023","NGDP_RPCH",268,3.465,2021-04-06
"2024","NGDP_RPCH",268,3.64,2021-04-06
"2025","NGDP_RPCH",268,3.74,2021-04-06
"2026","NGDP_RPCH",268,3.94,2021-04-06
"2021","NGDP_RPCH",273,5.004,2021-04-06
"2022","NGDP_RPCH",273,3.002,2021-04-06
"2023","NGDP_RPCH",273,2.132,2021-04-06
"2024","NGDP_RPCH",273,2.023,2021-04-06
"2025","NGDP_RPCH",273,2.011,2021-04-06
"2026","NGDP_RPCH",273,2.015,2021-04-06
"2020","NGDP_RPCH",278,-3,2021-04-06
"2021","NGDP_RPCH",278,0.237,2021-04-06
"2022","NGDP_RPCH",278,2.7,2021-04-06
"2023","NGDP_RPCH",278,2,2021-04-06
"2024","NGDP_RPCH",278,1.8,2021-04-06
"2025","NGDP_RPCH",278,2.1,2021-04-06
"2026","NGDP_RPCH",278,2.75,2021-04-06
"2020","NGDP_RPCH",283,-17.949,2021-04-06
