"ctry","iso3","ctry_name"
"001",NA,"World"
"110",NA,"Advanced Economies"
"111","USA","United States"
"112","GBR","United Kingdom"
"119",NA,"G7"
"122","AUT","Austria"
"123",NA,"Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)"
"124","BEL","Belgium"
"128","DNK","Denmark"
"132","FRA","France"
"134","DEU","Germany"
"135","SMR","San Marino"
"136","ITA","Italy"
"137","LUX","Luxembourg"
"138","NLD","Netherlands"
"142","NOR","Norway"
"144","SWE","Sweden"
"146","CHE","Switzerland"
"156","CAN","Canada"
"158","JPN","Japan"
"163",NA,"Euro area"
"171","AND","Andorra"
"172","FIN","Finland"
"174","GRC","Greece"
"176","ISL","Iceland"
"178","IRL","Ireland"
"181","MLT","Malta"
"182","PRT","Portugal"
"184","ESP","Spain"
"186","TUR","Turkey"
"193","AUS","Australia"
"196","NZL","New Zealand"
"199","ZAF","South Africa"
"200",NA,"Emerging Market and Developing Economies"
"205",NA,"Latin America and the Caribbean"
"213","ARG","Argentina"
"218","BOL","Bolivia"
"223","BRA","Brazil"
"228","CHL","Chile"
"233","COL","Colombia"
"238","CRI","Costa Rica"
"243","DOM","Dominican Republic"
"248","ECU","Ecuador"
"253","SLV","El Salvador"
"258","GTM","Guatemala"
"263","HTI","Haiti"
"268","HND","Honduras"
"273","MEX","Mexico"
"278","NIC","Nicaragua"
"283","PAN","Panama"
"288","PRY","Paraguay"
"293","PER","Peru"
"298","URY","Uruguay"
"299","VEN","Venezuela"
"311","ATG","Antigua and Barbuda"
"313","BHS","Bahamas, The"
"314","ABW","Aruba"
"316","BRB","Barbados"
"321","DMA","Dominica"
"328","GRD","Grenada"
"336","GUY","Guyana"
"339","BLZ","Belize"
"343","JAM","Jamaica"
"359","PRI","Puerto Rico"
"361","KNA","St. Kitts and Nevis"
"362","LCA","St. Lucia"
"364","VCT","St. Vincent and the Grenadines"
"366","SUR","Suriname"
"369","TTO","Trinidad and Tobago"
"400",NA,"Middle East and Central Asia (MECA)"
"419","BHR","Bahrain"
"423","CYP","Cyprus"
"429","IRN","Iran"
"433","IRQ","Iraq"
"436","ISR","Israel"
"439","JOR","Jordan"
"443","KWT","Kuwait"
"446","LBN","Lebanon"
"449","OMN","Oman"
"453","QAT","Qatar"
"456","SAU","Saudi Arabia"
"463","SYR","Syria"
"466","ARE","United Arab Emirates"
"469","EGY","Egypt"
"474","YEM","Yemen"
"487","WBG","West Bank and Gaza"
"505",NA,"Emerging and Developing Asia"
"511",NA,"ASEAN-5"
"512","AFG","Afghanistan"
"513","BGD","Bangladesh"
"514","BTN","Bhutan"
"516","BRN","Brunei Darussalam"
"518","MMR","Myanmar"
"522","KHM","Cambodia"
"524","LKA","Sri Lanka"
"528","TWN","Taiwan Province of China"
"532","HKG","Hong Kong SAR"
"534","IND","India"
"536","IDN","Indonesia"
"537","TLS","Timor-Leste"
"542","KOR","Korea"
"544","LAO","Lao P.D.R."
"546","MAC","Macao SAR"
"548","MYS","Malaysia"
"556","MDV","Maldives"
"558","NPL","Nepal"
"564","PAK","Pakistan"
"565","PLW","Palau"
"566","PHL","Philippines"
"576","SGP","Singapore"
"578","THA","Thailand"
"582","VNM","Vietnam"
"603",NA,"Sub-Sahara Africa"
"611","DJI","Djibouti"
"612","DZA","Algeria"
"614","AGO","Angola"
"616","BWA","Botswana"
"618","BDI","Burundi"
"622","CMR","Cameroon"
"624","CPV","Cabo Verde"
"626","CAF","Central African Republic"
"628","TCD","Chad"
"632","COM","Comoros"
"634","COG","Congo, Republic of"
"636","COD","Congo, Democratic Republic of the"
"638","BEN","Benin"
"642","GNQ","Equatorial Guinea"
"643","ERI","Eritrea"
"644","ETH","Ethiopia"
"646","GAB","Gabon"
"648","GMB","Gambia, The"
"652","GHA","Ghana"
"654","GNB","Guinea-Bissau"
"656","GIN","Guinea"
"662","CIV","Côte d'Ivoire"
"664","KEN","Kenya"
"666","LSO","Lesotho"
"668","LBR","Liberia"
"672","LBY","Libya"
"674","MDG","Madagascar"
"676","MWI","Malawi"
"678","MLI","Mali"
"682","MRT","Mauritania"
"684","MUS","Mauritius"
"686","MAR","Morocco"
"688","MOZ","Mozambique"
"692","NER","Niger"
"694","NGA","Nigeria"
"698","ZWE","Zimbabwe"
"714","RWA","Rwanda"
"716","STP","São Tomé and Príncipe"
"718","SYC","Seychelles"
"722","SEN","Senegal"
"724","SLE","Sierra Leone"
"726","SOM","Somalia"
"728","NAM","Namibia"
"732","SDN","Sudan"
"733","SSD","South Sudan"
"734","SWZ","Eswatini"
"738","TZA","Tanzania"
"742","TGO","Togo"
"744","TUN","Tunisia"
"746","UGA","Uganda"
"748","BFA","Burkina Faso"
"754","ZMB","Zambia"
"813","SLB","Solomon Islands"
"819","FJI","Fiji"
"826","KIR","Kiribati"
"836","NRU","Nauru"
"846","VUT","Vanuatu"
"853","PNG","Papua New Guinea"
"862","WSM","Samoa"
"866","TON","Tonga"
"867","MHL","Marshall Islands"
"868","FSM","Micronesia"
"869","TUV","Tuvalu"
"903",NA,"Emerging and Developing Europe"
"911","ARM","Armenia"
"912","AZE","Azerbaijan"
"913","BLR","Belarus"
"914","ALB","Albania"
"915","GEO","Georgia"
"916","KAZ","Kazakhstan"
"917","KGZ","Kyrgyz Republic"
"918","BGR","Bulgaria"
"921","MDA","Moldova"
"922","RUS","Russia"
"923","TJK","Tajikistan"
"924","CHN","China"
"925","TKM","Turkmenistan"
"926","UKR","Ukraine"
"927","UZB","Uzbekistan"
"935","CZE","Czech Republic"
"936","SVK","Slovak Republic"
"939","EST","Estonia"
"941","LVA","Latvia"
"942","SRB","Serbia"
"943","MNE","Montenegro, Rep. of"
"944","HUN","Hungary"
"946","LTU","Lithuania"
"948","MNG","Mongolia"
"960","HRV","Croatia"
"961","SVN","Slovenia"
"962","MKD","North Macedonia"
"963","BIH","Bosnia and Herzegovina"
"964","POL","Poland"
"967","UVK","Kosovo"
"968","ROU","Romania"
"998",NA,"European Union"
